Name,Country,Code,Domains,Website
Turkish Naval Academy,Turkey,TR,dho.edu.tr,http://www.dho.edu.tr/
Dicle (Tirgris) University,Turkey,TR,dicle.edu.tr,http://www.dicle.edu.tr/
Dogus University,Turkey,TR,dogus.edu.tr,http://www.dogus.edu.tr/
Dumlupinar University,Turkey,TR,"dumlupinar.edu.tr, dpu.edu.tr",http://www.dumlupinar.edu.tr/
Ege University,Turkey,TR,ege.edu.tr,http://www.ege.edu.tr/
Erciyes University,Turkey,TR,erciyes.edu.tr,http://www.erciyes.edu.tr/
Tobb Economics and Technology University,Turkey,TR,etu.edu.tr,http://www.etu.edu.tr/
Firat (Euphrates) University,Turkey,TR,firat.edu.tr,http://www.firat.edu.tr/
Fenerbahce University,Turkey,TR,fbu.edu.tr,https://fbu.edu.tr/
Gaziantep University,Turkey,TR,gantep.edu.tr,http://www.gantep.edu.tr/
Gazi University Ankara,Turkey,TR,gazi.edu.tr,http://www.gazi.edu.tr/
Gaziosmanpasa University,Turkey,TR,gop.edu.tr,http://www.gop.edu.tr/
Galatasaray University,Turkey,TR,gsu.edu.tr,http://www.gsu.edu.tr/
Gebze Institute of Technology,Turkey,TR,gyte.edu.tr,http://www.gyte.edu.tr/
Halic University,Turkey,TR,halic.edu.tr,http://www.halic.edu.tr/
Harran University,Turkey,TR,harran.edu.tr,http://www.harran.edu.tr/
Hacettepe University,Turkey,TR,"hun.edu.tr, hacettepe.edu.tr",http://www.hun.edu.tr/
Abant Izzet Baysal University,Turkey,TR,ibu.edu.tr,http://www.ibu.edu.tr/
Istanbul Kultur University,Turkey,TR,iku.edu.tr,http://www.iku.edu.tr/
Inönü University,Turkey,TR,inonu.edu.tr,http://www.inonu.edu.tr/
Isik University,Turkey,TR,isikun.edu.tr,http://www.isikun.edu.tr/
Istanbul Ticaret University,Turkey,TR,iticu.edu.tr,http://www.iticu.edu.tr/
Istanbul Technical University,Turkey,TR,itu.edu.tr,http://www.itu.edu.tr/
Izmir Institute of Technology,Turkey,TR,iyte.edu.tr,http://www.iyte.edu.tr/
Kafkas University,Turkey,TR,kafkas.edu.tr,http://www.kafkas.edu.tr/
Zonguldak Karaelmas University,Turkey,TR,karaelmas.edu.tr,http://www.karaelmas.edu.tr/
Kadir Has University,Turkey,TR,khas.edu.tr,http://www.khas.edu.tr/
Kilis 7 Aralık University,Turkey,TR,kilis.edu.tr,http://www.kilis.edu.tr/
Kirikkale University,Turkey,TR,kku.edu.tr,http://www.kku.edu.tr/
Necmettin Erbakan University,Turkey,TR,konya.edu.tr,http://www.konya.edu.tr/
Kocaeli University,Turkey,TR,kou.edu.tr,http://www.kou.edu.tr/
Kahramanmaras Sütcü Imam University,Turkey,TR,ksu.edu.tr,http://www.ksu.edu.tr/
Karadeniz Technical University,Turkey,TR,ktu.edu.tr,http://www.ktu.edu.tr/
Koç University,Turkey,TR,ku.edu.tr,http://www.ku.edu.tr/
Maltepe University,Turkey,TR,maltepe.edu.tr,http://www.maltepe.edu.tr/
Marmara University,Turkey,TR,marmara.edu.tr,http://www.marmara.edu.tr/
Mersin University,Turkey,TR,mersin.edu.tr,http://www.mersin.edu.tr/
Mustafa Kemal University,Turkey,TR,mku.edu.tr,http://www.mku.edu.tr/
Mimar Sinan University,Turkey,TR,msu.edu.tr,http://www.msu.edu.tr/
Mugla Sitki Kocman University,Turkey,TR,mu.edu.tr,http://www.mu.edu.tr/
Omer Halisdemir University,Turkey,TR,ohu.edu.tr,http://www.ohu.edu.tr/
Namik Kemal University,Turkey,TR,nku.edu.tr,http://www.nku.edu.tr/
Middle East Technical University,Turkey,TR,metu.edu.tr,http://www.metu.edu.tr/
Osmangazi University,Turkey,TR,ogu.edu.tr,http://www.ogu.edu.tr/
Ondokuz Mayis University Samsun,Turkey,TR,omu.edu.tr,http://www.omu.edu.tr/
Ordu University,Turkey,TR,odu.edu.tr,http://www.odu.edu.tr
Ozyegin University,Turkey,TR,ozyegin.edu.tr,http://www.ozyegin.edu.tr/
Pamukkale University,Turkey,TR,pamukkale.edu.tr,http://www.pamukkale.edu.tr/
Sabanci University,Turkey,TR,"sabanciuniv.edu.tr, sabanciuniv.edu",http://www.sabanciuniv.edu.tr/
Sakarya University,Turkey,TR,"sau.edu.tr, sakarya.edu.tr",http://www.sau.edu.tr/
Suleyman Demirel University,Turkey,TR,sdu.edu.tr,http://www.sdu.edu.tr/
Istanbul Şehir University,Turkey,TR,sehir.edu.tr,http://www.sehir.edu.tr/
Selcuk University,Turkey,TR,selcuk.edu.tr,http://www.selcuk.edu.tr/
Tarsus University,Turkey,TR,tarsus.edu.tr,http://www.tarsus.edu.tr/
Türkisch-Deutsche Universität,Turkey,TR,tau.edu.tr,http://www.tau.edu.tr/
Trakya University,Turkey,TR,trakya.edu.tr,http://www.trakya.edu.tr/
Ufuk University,Turkey,TR,ufuk.edu.tr,http://www.ufuk.edu.tr/
Uludag University,Turkey,TR,uludag.edu.tr,http://www.uludag.edu.tr/
Yalova University,Turkey,TR,yalova.edu.tr,http://www.yalova.edu.tr/
Yasar University,Turkey,TR,yasar.edu.tr,http://www.yasar.edu.tr/
Yildirim Beyazit University,Turkey,TR,ybu.edu.tr,http://www.ybu.edu.tr/
Yeditepe University,Turkey,TR,yeditepe.edu.tr,http://www.yeditepe.edu.tr/
Yildiz Technical University,Turkey,TR,yildiz.edu.tr,http://www.yildiz.edu.tr/
