Job Title,Company Name,Location,Skills,Links
Full Stack Magento Developer,Azza Fahmy Jewellery -,"Zamalek, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Computer Science · Information Technology (IT) · Java · PHP · Magento · Python · HTML,https://wuzzuf.net//jobs/p/5BSdJy2Ll6jR-Full-Stack-Magento-Developer-Azza-Fahmy-Jewellery-Cairo-Egypt?o=44&l=sp&t=sj&a=python|search-v3|hpb
Backend Developer,Nahdet Misr Publishing Group -,"Mohandessin, Giza, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Other · backend · API · Computer Science · Information Technology (IT) · Java · Programming · Python,https://wuzzuf.net//jobs/p/itPEzxhy5VCD-Backend-Developer-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=45&l=sp&t=sj&a=python|search-v3|hpb
PHP Lead,LINK Development -,"Maadi, Cairo, Egypt ",Full TimeWork From HomeManager · 5 - 15 Yrs of Exp · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · PHP · Computer Science · Information Technology (IT) · Software Development · Engineering · Laravel · Drupal,https://wuzzuf.net//jobs/p/Ppcjqcdpi4au-PHP-Lead-LINK-Development-Cairo-Egypt?o=46&l=sp&t=sj&a=python|search-v3|hpb
Telecom Engineer,OpenCode -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · SMPP · INAP · HLR · Perl · PHP · Python · SS7 · Sigtran,https://wuzzuf.net//jobs/p/DLu9nypRdhSX-Telecom-Engineer-OpenCode-Cairo-Egypt?o=47&l=sp&t=sj&a=python|search-v3|hpb
Full Stack Developer,Engosoft -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Information Technology (IT) · developer · Computer Science · Full Stack Developer · Full Stack · Software Development · JavaScript · Stack · Laravel 5,https://wuzzuf.net//jobs/p/CI7pPFNxFw1u-Full-Stack-Developer-Engosoft-Cairo-Egypt?o=48&l=sp&t=sj&a=python|search-v3|hpb
Senior Devops Engineer,Trufla -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · Azure · Cloud · Computer Science · Docker · Engineering · Information Technology (IT) · Linux,https://wuzzuf.net//jobs/p/8utkBbbUHwff-Senior-Devops-Engineer-Trufla-Cairo-Egypt?o=49&l=sp&t=sj&a=python|search-v3|hpb
Full stack Developer (Django & ReactJs),Valify -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Python · React · Full Stack Development,https://wuzzuf.net//jobs/p/QT5y0yTf2qJn-Full-stack-Developer-Django-ReactJs-Valify-Cairo-Egypt?o=50&l=sp&t=sj&a=python|search-v3|hpb
Data Scientist,Monty Mobile -,"Cairo, Egypt ",Full TimeExperienced · 1 - 10 Yrs of Exp · Engineering - Telecom/Technology · Data Science · Python · Information Technology (IT),https://wuzzuf.net//jobs/p/JH95wpLfTvip-Data-Scientist-Monty-Mobile-Cairo-Egypt?o=51&l=sp&t=sj&a=python|search-v3|hpb
Senior .NET Full Stack Developer (.NET Core & Angular),Lumin -,"Sheikh Zayed, Giza, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · males_only · IT/Software Development · Engineering - Telecom/Technology · ASP.NET · ADO.NET · C#.Net · .NET · .NEt Full Stack Developer · Full Stack Developer · java · Python,https://wuzzuf.net//jobs/p/DEBua6zk9iOo-Senior-NET-Full-Stack-Developer-NET-Core-Angular-Lumin-Giza-Egypt?o=52&l=sp&t=sj&a=python|search-v3|hpb
GIS Developer,Perfect Presentation -,"6th of October, Giza, Egypt ",Full TimeExperienced · 4 - 7 Yrs of Exp · IT/Software Development · GIS · JavaScript · Software Development · HTML · Python · SQL · CSS,https://wuzzuf.net//jobs/p/lgUaD1YZxhmY-GIS-Developer-Perfect-Presentation-Giza-Egypt?o=53&l=sp&t=sj&a=python|search-v3|hpb
